time_s,event_type,value
0,00,SESSION_START,01 
0,00,VARIABLE,Test
1,94,GAZE_ON,
6,22,GAZE_OFF,
6,30,GAZE_ON,
6,33,GAZE_OFF,
6,72,GAZE_ON,
13,01,GAZE_OFF,
13,73,GAZE_ON,
14,88,GAZE_OFF,
17,27,GAZE_ON,
21,09,GAZE_OFF,
22,39,GAZE_ON,
12,47,USER_SPEECH," Hi, how are you? Can you just say like one or two sentences? Just so I can test my logger."
12,47,EXPLANATION_DURATION,7,66
24,13,GAZE_OFF,
24,91,GAZE_ON,
23,17,AI_RESPONSE,"I'm good, thanks for checking! Your logger should be logging that, no issues there."
23,17,AI_DURATION,4,52
27,84,GAZE_OFF,
28,62,GAZE_ON,
29,55,GAZE_OFF,
30,11,GAZE_ON,
31,37,GAZE_OFF,
32,30,GAZE_ON,
33,15,GAZE_OFF,
34,26,GAZE_ON,
37,60,GAZE_OFF,
38,39,GAZE_ON,
39,63,GAZE_OFF,
39,74,GAZE_ON,
40,59,GAZE_OFF,
42,71,GAZE_ON,
40,26,USER_SPEECH," Okay, gotcha. Thank you. Can you say bye?"
40,26,EXPLANATION_DURATION,4,39
44,31,AI_RESPONSE,"Bye!"
44,31,AI_DURATION,0,55
45,09,GAZE_OFF,
45,83,GAZE_ON,
46,72,GAZE_OFF,
47,00,GAZE_ON,
47,21,GAZE_OFF,
47,28,GAZE_ON,
